id,data_status,name,name_legal,branch,status,zone,address_road,address_jibun,address_detail,lat,lng,phone,license_type,license_category,license_date,purpose_badges,categories_l1,categories,primary_category,menus,signature_menu,lunch_per_person,dinner_per_person,price_level,reservation,reservation_note,private_room,room_capacity_max,tabling,waiting_apps,corkage,corkage_fee,corkage_note,group_capacity_max,serves_alcohol,parking,takeout,mood,vibe_tags,vibe_note,waiting_level,waiting_peak_time,waiting_note,hours_open,hours_close,hours_break,hours_last_order,hours_holiday,lunch_open,ibk_hq_m,ibk_hq_walk_min,ibk_finance_tower_m,ibk_finance_tower_walk_min,link_kakao,link_naver,link_google,localdata_mgtno,kakao_place_id,google_place_id,in_kakao,in_google,match_score,confidence,updated_at,note
SMP-00001,SAMPLE,종각손칼국수,종각손칼국수,,영업,종각,서울특별시 종로구 (샘플 주소 — 실주소 아님),,,37.5709,126.9817,,일반음식점,한식,,LUNCH,KOR,KOR_KALGUKSU,KOR_KALGUKSU,바지락칼국수~10000|들깨칼국수~11000|왕만두~7000|겉절이보쌈~18000,바지락칼국수,11000,14000,₩,NO,,NO,,NO,현장only,NO,,,12,,UNKNOWN,,노포,가성비|노포|혼밥가능,,HIGH,11:50-13:10,,10:30,21:00,15:00-16:30,20:20,일요일 휴무,Y,1009,16,1007,16,,,,,,,,,,LOW,2026-08-26,점심 피크에 웨이팅. 11시 40분 전 도착 권장.
SMP-00002,SAMPLE,종각커피로스터스,종각커피로스터스,,영업,종각,서울특별시 종로구 (샘플 주소 — 실주소 아님),,,37.5695,126.9838,,휴게음식점,까페,,CAFE,CAF,CAF_COFFEE,CAF_COFFEE,아메리카노~4500|콜드브루~5500|플랫화이트~5000|스콘~4000,아메리카노,5500,,₩,NO,,NO,,NO,현장only,UNKNOWN,,,4,N,UNKNOWN,,모던,조용한|1인석|인테리어좋음,,LOW,13:00-13:40,,08:00,21:00,,20:30,연중무휴,Y,683,11,681,11,,,,,,,,,,LOW,2026-08-26,식후 커피 수요 몰리는 13시 전후 자리 부족.
SMP-00003,SAMPLE,종각이자카야 마루,종각이자카야 마루,,영업,종각,서울특별시 종로구 (샘플 주소 — 실주소 아님),,,37.5712,126.9836,,일반음식점,일식,,DINNER,JPN,JPN_IZAKAYA,JPN_IZAKAYA,모듬사시미~48000|야키토리 5종~22000|명란계란말이~14000|하이볼~8000,모듬사시미,,38000,₩₩₩,YES,2일 전까지 전화 예약,YES,12,YES,캐치테이블,COND,20000,와인 1병까지 병당 2만원,20,Y,UNKNOWN,,모던,단체석|접대용|아늑한,,LOW,,,17:00,01:00,,24:00,일요일 휴무,N,891,14,873,14,,,,,,,,,,LOW,2026-08-26,"룸 2개 보유, 회식 12인까지."
SMP-00004,SAMPLE,종각백반집,종각백반집,,영업,종각,서울특별시 종로구 (샘플 주소 — 실주소 아님),,,37.5688,126.9824,,일반음식점,한식,,LUNCH,KOR,KOR_BAEKBAN,KOR_BAEKBAN,제육볶음정식~9000|김치찌개~8000|고등어구이정식~10000,제육볶음정식,9000,11000,₩,NO,,NO,,NO,현장only,UNKNOWN,,,8,,UNKNOWN,,캐주얼,가성비|혼밥가능|시끌벅적,,HIGH,12:00-13:00,,07:00,20:00,,19:30,토·일 휴무,Y,757,12,774,12,,,,,,,,,,LOW,2026-08-26,
SMP-00005,SAMPLE,종로설렁탕,종로설렁탕,,영업,종로,서울특별시 종로구 (샘플 주소 — 실주소 아님),,,37.572,126.9931,,일반음식점,한식,,LUNCH,KOR,KOR_GUKBAP,KOR_GUKBAP,설렁탕~12000|도가니탕~18000|수육~35000,설렁탕,12000,16000,₩₩,COND,6인 이상 단체만,NO,,NO,현장only,NO,,,30,,UNKNOWN,,노포,노포|단체석|혼밥가능,,LOW,,,06:00,22:00,,21:30,연중무휴,Y,1037,17,960,15,,,,,,,,,,LOW,2026-08-26,
SMP-00006,SAMPLE,종로왕족발,종로왕족발,,영업,종로,서울특별시 종로구 (샘플 주소 — 실주소 아님),,,37.5705,126.9934,,일반음식점,한식,,DINNER,KOR,KOR_JOKBAL,KOR_JOKBAL,족발 중~38000|보쌈 중~36000|막국수~9000|소주~5000,족발 중,,22000,₩₩,YES,전화 예약,YES,10,NO,현장only,YES,0,콜키지 프리,24,Y,UNKNOWN,,시끌벅적,단체석|시끌벅적|가성비,,LOW,,,16:00,02:00,,01:00,연중무휴,N,890,14,814,13,,,,,,,,,,LOW,2026-08-26,2층 룸 회식 10인까지.
SMP-00007,SAMPLE,종로노가리호프,종로노가리호프,,영업,종로,서울특별시 종로구 (샘플 주소 — 실주소 아님),,,37.5728,126.9912,,일반음식점,호프/통닭,,DINNER,BAR,BAR_HOF,BAR_HOF,생맥주 500~4000|노가리~3000|후라이드치킨~18000,생맥주 500,,18000,₩,NO,,NO,,NO,현장only,NO,,,40,Y,UNKNOWN,,시끌벅적,야외석|시끌벅적|가성비|단체석,,HIGH,19:00-21:00,,16:00,01:00,,24:00,연중무휴,N,1033,16,960,15,,,,,,,,,,LOW,2026-08-26,"야외 테이블 위주, 우천 시 좌석 급감."
SMP-00008,SAMPLE,종로평양냉면,종로평양냉면,,영업,종로,서울특별시 종로구 (샘플 주소 — 실주소 아님),,,37.571,126.9904,,일반음식점,한식,,LUNCH,KOR,KOR_NAENGMYEON,KOR_NAENGMYEON,평양냉면~15000|비빔냉면~15000|수육~32000|녹두전~14000,평양냉면,15000,20000,₩₩,NO,,NO,,YES,테이블링,NO,,,6,,UNKNOWN,,정갈,노포|깔끔한,,EXTREME,11:40-14:00,,11:00,20:30,15:30-17:00,20:00,둘째·넷째 주 월요일 휴무,Y,747,12,674,11,,,,,,,,,,LOW,2026-08-26,테이블링 원격 등록 가능. 피크 40분 이상 대기.
SMP-00009,SAMPLE,종로디저트살롱,종로디저트살롱,,영업,종로,서울특별시 종로구 (샘플 주소 — 실주소 아님),,,37.5724,126.9938,,휴게음식점,까페,,CAFE,CAF,CAF_DESSERT|CAF_COFFEE,CAF_DESSERT,말차빙수~13000|얼그레이케이크~7500|아메리카노~4800,말차빙수,,,₩₩,NO,,NO,,NO,현장only,UNKNOWN,,,6,N,UNKNOWN,,모던,데이트|인테리어좋음|조용한,,LOW,,,11:00,22:00,,21:20,월요일 휴무,Y,1135,18,1058,17,,,,,,,,,,LOW,2026-08-26,
SMP-00010,SAMPLE,명동돈카츠,명동돈카츠,,영업,명동,서울특별시 중구 (샘플 주소 — 실주소 아님),,,37.5616,126.9869,,일반음식점,일식,,LUNCH,JPN,JPN_DONKATSU,JPN_DONKATSU,등심돈카츠~13000|모둠카츠~17000|카레돈카츠~14000,등심돈카츠,13000,15000,₩₩,NO,,NO,,YES,테이블링,NO,,,6,,UNKNOWN,,캐주얼,깔끔한|혼밥가능|1인석,,HIGH,12:00-13:30,,11:00,21:00,15:00-17:00,20:20,연중무휴,Y,732,12,801,13,,,,,,,,,,LOW,2026-08-26,
SMP-00011,SAMPLE,명동손만두,명동손만두,,영업,명동,서울특별시 중구 (샘플 주소 — 실주소 아님),,,37.5598,126.9866,,일반음식점,한식,,LUNCH,KOR,KOR_MANDU,KOR_MANDU,고기만두~8000|김치만두~8000|만둣국~9500|떡만둣국~10000,고기만두,9000,11000,₩,NO,,NO,,NO,현장only,UNKNOWN,,,8,,UNKNOWN,,캐주얼,가성비|혼밥가능,,LOW,,,10:00,21:00,,20:30,연중무휴,Y,1005,16,1072,17,,,,,,,,,,LOW,2026-08-26,
SMP-00012,SAMPLE,명동중화원,명동중화원,,영업,명동,서울특별시 중구 (샘플 주소 — 실주소 아님),,,37.5622,126.985,,일반음식점,중국식,,LUNCH|DINNER,CHN,CHN_JJAJANG,CHN_JJAJANG,짜장면~8000|삼선짬뽕~12000|탕수육 중~25000|코스 A~45000|고량주~18000,삼선짬뽕,10000,28000,₩₩,YES,룸은 3일 전 예약,YES,16,NO,현장only,COND,15000,룸 이용 시에만 병당 1.5만원,16,Y,UNKNOWN,,접대용,단체석|접대용|고급스러운,,NONE,,,11:00,22:00,15:00-17:00,21:00,연중무휴,Y,725,12,800,13,,,,,,,,,,LOW,2026-08-26,"룸 3개, 최대 16인."
SMP-00013,SAMPLE,명동베이커리,명동베이커리,,영업,명동,서울특별시 중구 (샘플 주소 — 실주소 아님),,,37.5604,126.9847,,휴게음식점,까페,,CAFE,CAF,CAF_BAKERY|CAF_COFFEE,CAF_BAKERY,크루아상~4200|소금빵~3500|아메리카노~4500,크루아상,,,₩,NO,,NO,,NO,현장only,UNKNOWN,,,4,N,UNKNOWN,,캐주얼,혼밥가능|1인석,,LOW,,,07:30,20:00,,19:40,연중무휴,Y,983,16,1057,17,,,,,,,,,,LOW,2026-08-26,
